x y
110 5222.860000
130 6243.360000
160 8669.280000
200 12972.350000
250 20210.970000
310 31534.300000
380 48362.130000
460 72567.920000
550 110559.250000
650 149776.710000
760 209990.120000
880 287135.610000
1010 384372.250000
1150 504013.300000
1300 667500.700000
1460 845209.250000
1630 1049139.710000
1810 1305648.260000
2000 1608414.280000
2200 1963650.140000
2410 2375398.800000
2630 2893738.420000
2860 3397097.280000
3100 4043415.720000
3350 4720678.940000
3610 5538951.760000
3880 6394682.070000
4160 7435152.330000
4450 8521766.480000
4750 9728162.180000
5060 11106846.870000
5380 12578737.720000
5710 14376157.490000
6050 16020497.170000
6400 18032268.970000
6760 20149350.940000
7130 22549244.930000
7510 25054376.080000
7900 27843476.400000
8300 30693117.460000
8710 33859082.860000
9130 37337230.090000
9560 41076985.810000
10000 44973320.650000
10450 49241882.230000
10910 53849106.870000
11380 58597430.960000
11860 63747222.950000

